update_id,tx_type,effective_at,fetched_at,request_body_kb,response_body_kb,request_headers_kb,response_headers_kb,base_kb,extra_kb,total_kb
1220db8d534eb5b44f07c6547f6524e53ea101b3e5c44b6d02a31755fc5fabeeebb9,marker,2026-05-07T21:05:57.464147Z,2026-05-08T01:27:51.036Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
122005e62944569e39522b32e1ff253900c91e427dc3be69de0ccca633434aa35ce6,marker,2026-05-07T21:10:56.701867Z,2026-05-08T01:27:51.386Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
1220925c45592f961cce85e7fbbaf3083587700f85c36f4e4039c5e830242ba12765,marker,2026-05-07T21:15:59.649286Z,2026-05-08T01:27:51.790Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
122027ef5ff2fd14466e0870b62d20d0a4e3c905158190116f482ec433e2ef2bec1f,marker,2026-05-07T21:21:02.932442Z,2026-05-08T01:27:52.184Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
12209a2fd08912d2323ae04d97ba86934e65dde6d8fd29924b5030d00b327978b573,marker,2026-05-07T21:26:02.965672Z,2026-05-08T01:27:52.582Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
12202f4af312dce156ecbed94bee386358bfaffebb5743e36e4133f770f4b7ef761f,marker,2026-05-07T21:31:05.579822Z,2026-05-08T01:27:52.883Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220849bb1fd9b2c0207b87a777e8377ca313ce4d8f0b566d872389109959847c3fe,marker,2026-05-07T21:38:19.321515Z,2026-05-08T01:27:53.366Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
12207972fe012a78dd70a450582c697cc7445d987e2bda2604b3353977a7c89733e7,marker,2026-05-07T21:43:21.901534Z,2026-05-08T01:27:53.706Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
122094c0ae05a570d849772585b1a33b31dc7d9a0fa6a331e9def656733839552564,marker,2026-05-07T21:48:22.080628Z,2026-05-08T01:27:54.018Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220ce832009181f99c8db4a75aca77560bde7e93dd67eaadb776664e539d1c3f25e,marker,2026-05-07T21:53:24.576358Z,2026-05-08T01:27:54.369Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
122022b2d3cec6913263c1b9498106669df2c0db2f5a079fbf74df79a5727b17bfa7,marker,2026-05-07T21:58:26.803126Z,2026-05-08T01:27:54.699Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220749912ec6cb5f3ed27d74d6c66a8247e8ba7fd7835b1f7f8fcc258bc4571cc11,marker,2026-05-07T22:03:26.798864Z,2026-05-08T01:27:55.027Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
122014a9f9f7ed48ab1014a8ced5ed2da0a250762fbafff14f721f2b93bc3dcce73e,marker,2026-05-07T22:08:29.286034Z,2026-05-08T01:27:55.376Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220fda59ad6194f82ca18a872495e06dd261e447cdc96199c7419842e70f28a7692,marker,2026-05-07T22:13:32.122508Z,2026-05-08T01:27:55.742Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
12207b5c6a30d9b7d3149802c3183950cd8939eb99f132308fa1e3d78cf8f63dd49f,marker,2026-05-07T22:18:32.289949Z,2026-05-08T01:27:56.062Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220c55098714d4590dac822be8f01cb3826fa25f8218e4d3cc75b05c2a524e99582,marker,2026-05-07T22:23:34.883770Z,2026-05-08T01:27:56.387Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
12202e28b7aabc7bc96e4bea32fa1f8a1689f6b8ea396a261f65998eb520ae9b6c0b,marker,2026-05-07T22:52:49.764500Z,2026-05-08T01:27:58.340Z,0.19,3.26,0.79,0.12,3.45,0.91,4.36
12201d5faecba1daa816585aa066483f9ef82b1c1f150762ca8d8878f63ec4d88db8,marker,2026-05-07T22:57:52.628236Z,2026-05-08T01:27:58.651Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
1220a765e9b5c20430e52c2f3e61df23366595e0b1f5b23ac505b1cb3c4915d803a7,marker,2026-05-07T23:02:55.057370Z,2026-05-08T01:27:58.990Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
12202db14d582c5c6d3ffe60792c74b2ac29b55f4da8477eaf9d4a067e886ff4c205,marker,2026-05-07T23:07:57.517477Z,2026-05-08T01:27:59.356Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
122061ab49db8750a576a5f61e470fb124e48d2e8f439231c41fe667c247bf2fbe36,marker,2026-05-07T23:13:00.214634Z,2026-05-08T01:27:59.699Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
122087e44ee114d14730f5de3bc34eed33ab92247c6dd6af75134e5efa4ded1da3a7,marker,2026-05-07T23:18:03.345084Z,2026-05-08T01:28:00.038Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
1220dccdeacc25f92007e2f124467520dccb902f444db5480b97eb326c8f90244b6a,marker,2026-05-07T23:23:06.093060Z,2026-05-08T01:28:00.393Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
